frequency_Hz,S11_dB,S21_dB,S12_dB,S22_dB
1.0E+08,-3.0,-16.5,-16.8,-3.2
2.0E+08,-4.0,-14.0,-14.3,-4.3
3.0E+08,-5.2,-12.1,-12.4,-5.5
4.0E+08,-7.0,-9.5,-9.8,-7.3
5.0E+08,-9.0,-8.1,-8.3,-9.4
6.0E+08,-11.0,-7.0,-7.2,-11.3
7.0E+08,-13.0,-6.0,-6.3,-13.4
8.0E+08,-15.0,-5.2,-5.5,-15.3
9.0E+08,-18.0,-4.4,-4.7,-18.2
1.0E+09,-20.0,-3.8,-4.0,-20.3
1.1E+09,-21.0,-3.3,-3.5,-21.4
1.2E+09,-22.5,-2.9,-3.2,-22.9
1.3E+09,-23.8,-2.6,-3.0,-24.1
1.4E+09,-24.8,-2.4,-2.8,-25.2
1.5E+09,-25.8,-2.3,-2.6,-26.1
1.6E+09,-26.5,-2.1,-2.4,-26.8
1.7E+09,-27.4,-2.0,-2.3,-27.6
1.8E+09,-28.0,-1.9,-2.2,-28.3
1.9E+09,-29.0,-1.8,-2.1,-29.4
2.0E+09,-30.0,-1.7,-2.0,-30.4
2.2E+09,-26.3,-2.5,-2.7,-26.7
2.4E+09,-23.0,-3.4,-3.7,-23.3
2.6E+09,-19.5,-4.5,-4.8,-19.8
2.8E+09,-16.0,-5.7,-6.0,-16.3
3.0E+09,-12.0,-7.2,-7.5,-12.4
