frequency_Hz,S11_dB,S21_dB,S12_dB,S22_dB
1.00E+08,-3.2,-17,-17.4,-3.6
2.00E+08,-4.1,-13.8,-14,-4.9
3.00E+08,-5.8,-11.9,-12.3,-6
4.00E+08,-7.2,-10,-10.3,-7.4
5.00E+08,-8.9,-8.4,-8.6,-9.2
6.00E+08,-10.5,-7.1,-7.4,-10.8
7.00E+08,-12.4,-6,-6.2,-12.7
8.00E+08,-14.6,-5.1,-5.4,-15
9.00E+08,-16.5,-4.3,-4.5,-16.7
1.00E+09,-17.8,-3.9,-4.1,-18
1.10E+09,-19,-3.3,-3.5,-19.3
1.20E+09,-20.2,-2.9,-3.1,-20.4
1.30E+09,-21.5,-2.7,-2.9,-21.7
1.40E+09,-22.7,-2.4,-2.7,-23
1.50E+09,-23.9,-2.2,-2.5,-24
1.60E+09,-24.8,-2,-2.3,-25.1
1.70E+09,-25.6,-1.9,-2.2,-26
1.80E+09,-26.4,-1.8,-2.1,-26.6
1.90E+09,-27,-1.6,-1.9,-27.2
2.00E+09,-27.6,-1.5,-1.8,-27.8
2.20E+09,-24.8,-2,-2.2,-25
2.40E+09,-21.2,-2.9,-3.1,-21.5
2.60E+09,-18,-3.8,-4,-18.3
2.80E+09,-14.5,-5.2,-5.5,-14.7
3.00E+09,-11.1,-6.7,-6.9,-11.4
